# mjd   B   error
54534.1418   20.3467   0.0912
54591.2130   20.8621   0.0911
54792.4212   20.8587   0.0911
54794.4026   21.5122   0.0912
54861.1137   20.6977   0.0912
54862.1045   21.2665   0.0912
55470.4461   21.1712   0.0914
55536.2187   21.5446   0.0914
55538.2553   21.8391   0.0914
55540.3265   21.5411   0.0918
55543.3234   21.9164   0.0914
55599.1523   22.2213   0.0937
55889.4052   22.0977   0.0930
55924.2951   22.1421   0.0915
55925.2297   22.1312   0.0925
55926.2912   22.1065   0.0915
55927.3363   22.0811   0.0916
55930.3890   22.1079   0.0926
55969.0977   22.2469   0.0927
56008.1330   22.5348   0.0943
56009.1200   22.4637   0.0939
56045.1470   22.6403   0.0980
56215.4467   22.4738   0.0937
56217.4443   22.5601   0.0988
56254.4183   22.1624   0.0915
56301.2189   22.6284   0.0969
56302.2990   22.2309   0.0917
56337.3681   22.2519   0.0918
56417.1438   22.4943   0.0925
