# mjd   R   error
54534.1436   19.4033   0.0530
54591.2148   19.4850   0.0530
54861.1156   19.5821   0.0530
54862.1063   19.6073   0.0530
55470.4478   19.7801   0.0530
55536.2204   20.0041   0.0530
55538.2570   20.0337   0.0530
55540.3282   20.0360   0.0530
55543.3251   20.0715   0.0530
55889.4005   20.3356   0.0531
55889.4136   20.3467   0.0531
55924.2967   20.3329   0.0530
55925.1811   20.3072   0.0530
55925.2816   20.3249   0.0530
55926.2930   20.3104   0.0530
55927.3381   20.3192   0.0530
55930.3909   20.3307   0.0530
55969.1006   20.3841   0.0531
56008.1346   20.4392   0.0531
56009.1144   20.4438   0.0531
56009.1285   20.4376   0.0531
56045.1484   20.3926   0.0532
56215.4475   20.5498   0.0531
56217.4451   20.4959   0.0534
56254.4200   20.4643   0.0530
56301.2040   20.4506   0.0531
56301.2374   20.4786   0.0532
56302.3009   20.4892   0.0530
56337.3699   20.5063   0.0530
56417.1456   20.5732   0.0530
