# mjd   U   error
54534.1439   19.5770   0.0978
54591.2148   20.0066   0.0977
54861.1156   20.0052   0.0978
54862.1063   20.1714   0.0978
55470.4479   20.4458   0.0981
55536.2205   20.7153   0.0980
55538.2571   21.0107   0.0980
55540.3283   20.7334   0.0985
55543.3252   21.0620   0.0981
55599.1542   21.4583   0.1003
55924.2970   21.3319   0.0981
55925.2316   21.2834   0.0988
55926.2933   21.3166   0.0980
55927.3384   21.2779   0.0984
55930.3911   21.3255   0.0996
55969.0997   21.2893   0.0989
56008.1352   21.7149   0.1012
56009.1219   21.6867   0.1015
56045.1491   21.7170   0.1063
56215.4486   21.7350   0.1020
56217.4462   21.7423   0.1059
56254.4202   21.3444   0.0982
56301.2209   21.9000   0.1072
56302.3011   21.4757   0.0983
56337.3701   21.4783   0.0984
56417.1459   21.7015   0.0995
