# mjd   V   error
54534.1460   19.8388   0.0283
54591.2168   19.9131   0.0282
54792.4240   19.8128   0.0281
54794.4054   19.9875   0.0281
54861.1175   20.0268   0.0282
54862.1082   20.1116   0.0282
55470.4497   20.2802   0.0282
55536.2224   20.6272   0.0283
55538.2589   20.6991   0.0282
55540.3302   20.6252   0.0284
55543.3270   20.7187   0.0282
55599.1560   21.0475   0.0287
55889.4082   21.0463   0.0287
55924.2989   21.0582   0.0283
55925.2335   21.0455   0.0285
55926.2952   21.0103   0.0283
55927.3403   21.0192   0.0284
55930.3930   20.9972   0.0287
55969.1017   21.0941   0.0286
56008.1371   21.2658   0.0292
56009.1239   21.2146   0.0289
56045.1510   21.1481   0.0292
56215.4505   21.3716   0.0293
56217.4481   21.3266   0.0301
56254.4221   21.2293   0.0284
56301.2228   21.2737   0.0292
56302.3031   21.2692   0.0286
56337.3720   21.2521   0.0284
56417.1478   21.4305   0.0289
